NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
BURTON_ADIPOGENESIS_PEAK_AT_2HR	46	37		
BURTON_ADIPOGENESIS_PEAK_AT_8HR	39	35		
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN	647		Rejected!	
BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_UP	822		Rejected!	
BYSTROEM_CORRELATED_WITH_IL5_DN	60	55		
BYSTROEM_CORRELATED_WITH_IL5_UP	41	33		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_CIS	69	64		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	157	139		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FGF3	8		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_FLI1	8	5		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_IL3RA	9	8		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_CIS	133	110		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_QTL_TRANS	786		Rejected!	
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_RUNX1	8	5		
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_SCP2_QTL_TRANS	27	18		
BYSTRYKH_SCP2_QTL	6	5		
CADWELL_ATG16L1_TARGETS_DN	71	58		
CADWELL_ATG16L1_TARGETS_UP	104	66		
CAFFAREL_RESPONSE_TO_THC_24HR_3_DN	13	13		
CAFFAREL_RESPONSE_TO_THC_24HR_3_UP	8	8		
CAFFAREL_RESPONSE_TO_THC_24HR_5_DN	56	46		
CAFFAREL_RESPONSE_TO_THC_24HR_5_UP	33	30		
CAFFAREL_RESPONSE_TO_THC_8HR_3_DN	10	9		
CAFFAREL_RESPONSE_TO_THC_8HR_3_UP	5	5		
CAFFAREL_RESPONSE_TO_THC_8HR_5_DN	12	9		
CAFFAREL_RESPONSE_TO_THC_8HR_5_UP	15	13		
CAFFAREL_RESPONSE_TO_THC_DN	32	26		
CAFFAREL_RESPONSE_TO_THC_UP	32	28		
CAIRO_HEPATOBLASTOMA_CLASSES_DN	213	172		
CAIRO_HEPATOBLASTOMA_CLASSES_UP	612		Rejected!	
CAIRO_HEPATOBLASTOMA_DN	267	198		
CAIRO_HEPATOBLASTOMA_POOR_SURVIVAL	16	11		
CAIRO_HEPATOBLASTOMA_UP	213	202		
CAIRO_LIVER_DEVELOPMENT_DN	225	166		
CAIRO_LIVER_DEVELOPMENT_UP	166	152		
CAIRO_PML_TARGETS_BOUND_BY_MYC_DN	13	11		
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	22	21		
CALVET_IRINOTECAN_SENSITIVE_VS_RESISTANT_UP	5		Rejected!	
CALVET_IRINOTECAN_SENSITIVE_VS_REVERTED_DN	5	5		
