NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DUAL_INCISION_IN_TC_NER	REACTOME_DUAL_INCISION_IN_TC_NER		60	-0.25201318	-1.2141098	0.0	0.4444575	1.0	2326	tags=28%, list=15%, signal=33%	
NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON	NIKOLSKY_BREAST_CANCER_1Q32_AMPLICON		8	-0.46157405	-1.211072	0.19665273	0.44721043	1.0	844	tags=38%, list=6%, signal=40%	
HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP	HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_UP		21	-0.30858344	-1.2099571	0.17045455	0.44708848	1.0	1419	tags=33%, list=9%, signal=37%	
HOLLEMAN_DAUNORUBICIN_ALL_DN	HOLLEMAN_DAUNORUBICIN_ALL_DN		7	-0.47006178	-1.2005427	0.20762712	0.45990714	1.0	5034	tags=57%, list=33%, signal=85%	
TESAR_ALK_TARGETS_EPISC_4D_UP	TESAR_ALK_TARGETS_EPISC_4D_UP		6	-0.51176125	-1.199157	0.26587301	0.46031436	1.0	660	tags=33%, list=4%, signal=35%	
MATZUK_SPERMATOCYTE	MATZUK_SPERMATOCYTE		68	-0.28193566	-1.1973563	0.0	0.4611962	1.0	4265	tags=54%, list=28%, signal=75%	
KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX	KEGG_MEDICUS_REFERENCE_CENPE_INTERACTION_WITH_NDC80_COMPLEX		12	-0.3869867	-1.1972028	0.21052632	0.45959112	1.0	3831	tags=83%, list=25%, signal=111%	
WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP	WEST_ADRENOCORTICAL_TUMOR_MARKERS_UP		19	-0.3308998	-1.1964529	0.18309858	0.45902383	1.0	5222	tags=68%, list=34%, signal=104%	
TESAR_ALK_TARGETS_EPISC_3D_UP	TESAR_ALK_TARGETS_EPISC_3D_UP		6	-0.51580054	-1.1919979	0.25855514	0.46438107	1.0	660	tags=33%, list=4%, signal=35%	
WP_GENES_ASSOCIATED_WITH_THE_DEVELOPMENT_OF_RHEUMATOID_ARTHRITIS	WP_GENES_ASSOCIATED_WITH_THE_DEVELOPMENT_OF_RHEUMATOID_ARTHRITIS		12	-0.38777196	-1.1913598	0.221519	0.46364772	1.0	145	tags=17%, list=1%, signal=17%	
MORI_IMMATURE_B_LYMPHOCYTE_DN	MORI_IMMATURE_B_LYMPHOCYTE_DN		82	-0.26632783	-1.1911091	0.0	0.4622302	1.0	3018	tags=46%, list=20%, signal=57%	
KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION	KEGG_MEDICUS_VARIANT_IGH_MMSET_FUSION_TO_TRANSCRIPTIONAL_ACTIVATION		13	-0.3552338	-1.1832784	0.21481481	0.47254953	1.0	3638	tags=62%, list=24%, signal=81%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS		37	-0.26077944	-1.1818734	0.19444445	0.4730567	1.0	3641	tags=43%, list=24%, signal=57%	
YU_MYC_TARGETS_UP	YU_MYC_TARGETS_UP		42	-0.25053915	-1.1811416	0.2173913	0.47244066	1.0	3633	tags=57%, list=24%, signal=75%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_CCNE_TO_CELL_CYCLE_G1_S	KEGG_MEDICUS_VARIANT_AMPLIFIED_CCNE_TO_CELL_CYCLE_G1_S		6	-0.5081407	-1.1746905	0.25680932	0.48083428	1.0	3897	tags=50%, list=25%, signal=67%	
MORI_LARGE_PRE_BII_LYMPHOCYTE_UP	MORI_LARGE_PRE_BII_LYMPHOCYTE_UP		81	-0.23751062	-1.1737767	0.33333334	0.48055005	1.0	3018	tags=47%, list=20%, signal=58%	
WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS	WP_AMINO_ACID_TRANSPORT_DEFECTS_IEMS		6	-0.47159663	-1.1704894	0.26859504	0.4839083	1.0	2209	tags=33%, list=14%, signal=39%	
REACTOME_MISCELLANEOUS_SUBSTRATES	REACTOME_MISCELLANEOUS_SUBSTRATES		6	-0.4761314	-1.166179	0.26859504	0.4893476	1.0	2541	tags=50%, list=17%, signal=60%	
BENPORATH_ES_CORE_NINE	BENPORATH_ES_CORE_NINE		9	-0.42506245	-1.165463	0.2512563	0.48874003	1.0	660	tags=33%, list=4%, signal=35%	
WP_EUKARYOTIC_TRANSCRIPTION_INITIATION	WP_EUKARYOTIC_TRANSCRIPTION_INITIATION		37	-0.27273384	-1.1626562	0.15625	0.49140227	1.0	2582	tags=43%, list=17%, signal=52%	
REACTOME_MITOPHAGY	REACTOME_MITOPHAGY		37	-0.27049348	-1.1610193	0.22222222	0.49238333	1.0	2456	tags=38%, list=16%, signal=45%	
PID_RHODOPSIN_PATHWAY	PID_RHODOPSIN_PATHWAY		19	-0.31103805	-1.1609635	0.22222222	0.49068624	1.0	2533	tags=37%, list=17%, signal=44%	
KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00498	KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_P21_CELL_CYCLE_G1_S_N00498		8	-0.44243544	-1.1593357	0.24434389	0.4914622	1.0	6447	tags=88%, list=42%, signal=151%	
REACTOME_CHYLOMICRON_REMODELING	REACTOME_CHYLOMICRON_REMODELING		9	-0.43311545	-1.1584609	0.30208334	0.4911184	1.0	2502	tags=44%, list=16%, signal=53%	
MUNSHI_MULTIPLE_MYELOMA_DN	MUNSHI_MULTIPLE_MYELOMA_DN		8	-0.42571902	-1.1535585	0.26872247	0.4975801	1.0	1815	tags=50%, list=12%, signal=57%	
WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN	WP_NAD_BIOSYNTHESIS_II_FROM_TRYPTOPHAN		8	-0.4535531	-1.1521988	0.26363635	0.49811038	1.0	1033	tags=25%, list=7%, signal=27%	
KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION	KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION		19	-0.31263515	-1.1512825	0.18888889	0.49789456	1.0	1573	tags=21%, list=10%, signal=23%	
KEGG_MEDICUS_VARIANT_TEL_AML1_FUSION_TO_TRANSCRIPTIONAL_REPRESSION	KEGG_MEDICUS_VARIANT_TEL_AML1_FUSION_TO_TRANSCRIPTIONAL_REPRESSION		7	-0.46033087	-1.1486137	0.2658228	0.5005355	1.0	22	tags=14%, list=0%, signal=14%	
KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY	KEGG_MEDICUS_REFERENCE_FANCONI_ANEMIA_PATHWAY		19	-0.3266426	-1.1469661	0.29126215	0.5015249	1.0	1546	tags=26%, list=10%, signal=29%	
REACTOME_THE_FATTY_ACID_CYCLING_MODEL	REACTOME_THE_FATTY_ACID_CYCLING_MODEL		5	-0.523419	-1.1440203	0.32291666	0.50479084	1.0	4357	tags=60%, list=28%, signal=84%	
REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION	REACTOME_TRNA_PROCESSING_IN_THE_MITOCHONDRION		5	-0.5276844	-1.1402407	0.2857143	0.5094056	1.0	925	tags=40%, list=6%, signal=43%	
KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_P27_CELL_CYCLE_G1_S	KEGG_MEDICUS_PATHOGEN_HPV_E7_TO_P27_CELL_CYCLE_G1_S		7	-0.46570536	-1.1364224	0.28099173	0.51419216	1.0	3897	tags=43%, list=25%, signal=57%	
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS		27	-0.2782682	-1.1360689	0.22413793	0.51303667	1.0	2612	tags=41%, list=17%, signal=49%	
