NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
JOHNSTONE_PARVB_TARGETS_2_DN	JOHNSTONE_PARVB_TARGETS_2_DN		313	0.4482091	1.2421631	0.006	0.2749051	1.0	3890	tags=33%, list=25%, signal=43%	
ZHANG_PROLIFERATING_VS_QUIESCENT	ZHANG_PROLIFERATING_VS_QUIESCENT		43	0.48212713	1.2420862	0.14852493	0.2749546	1.0	3861	tags=47%, list=25%, signal=62%	
WP_OSTEOPONTIN_SIGNALING	WP_OSTEOPONTIN_SIGNALING		12	0.5727315	1.2420206	0.20971563	0.27497935	1.0	4748	tags=58%, list=31%, signal=85%	
AMIT_EGF_RESPONSE_40_MCF10A	AMIT_EGF_RESPONSE_40_MCF10A		13	0.56691146	1.2419652	0.20305164	0.2749951	1.0	2588	tags=38%, list=17%, signal=46%	
MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN	MULLIGHAN_NPM1_MUTATED_SIGNATURE_1_DN		108	0.4590208	1.2419344	0.074	0.2749662	1.0	4394	tags=40%, list=29%, signal=55%	
INGRAM_SHH_TARGETS_DN	INGRAM_SHH_TARGETS_DN		52	0.47895557	1.2419043	0.12398374	0.2749372	1.0	2795	tags=38%, list=18%, signal=47%	
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK		55	0.4758897	1.2418214	0.14429869	0.27499557	1.0	4530	tags=45%, list=30%, signal=64%	
REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA	REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA		9	0.61479145	1.2417885	0.18532339	0.27497792	1.0	4025	tags=67%, list=26%, signal=90%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PRKAR1A_TO_ACTH_CORTISOL_SIGNALING_PATHWAY		17	0.5367508	1.2417743	0.18089887	0.2749254	1.0	3555	tags=41%, list=23%, signal=54%	
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING		15	0.5457513	1.2414612	0.18834081	0.2753873	1.0	3558	tags=47%, list=23%, signal=61%	
JIANG_TIP30_TARGETS_DN	JIANG_TIP30_TARGETS_DN		21	0.5268707	1.2410842	0.20723684	0.27595362	1.0	4750	tags=52%, list=31%, signal=76%	
REACTOME_GDP_FUCOSE_BIOSYNTHESIS	REACTOME_GDP_FUCOSE_BIOSYNTHESIS		6	0.6555635	1.2409787	0.20189703	0.27605546	1.0	1805	tags=50%, list=12%, signal=57%	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PLCG_CAMK_SIGNALING_PATHWAY		15	0.5476818	1.2407326	0.18928164	0.27643344	1.0	3806	tags=47%, list=25%, signal=62%	
